,S,I,R,M
0,210000096.7125379,753.097741766,-842.9092681,-6.901011552
1,209999841.14567205,917.0635661279445,-753.1402485861685,-5.068990745595432
2,209999529.93680492,1116.7278699071398,-643.8265757408498,-2.8380994630382976
3,209999150.97184524,1359.862668551507,-510.7130175952953,-0.12149623557818577
4,209998689.49942377,1655.9319371312888,-348.6179290316787,3.1865667963324262
5,209998127.55681676,2016.4598962601128,-151.23157515189837,7.214859732654635
6,209997443.27093223,2455.479437107718,89.12944272981733,12.12018662819973
7,209996610.00719088,2990.0781116808653,381.82120995604174,18.093488000163262
8,209995595.33322993,3641.062898013434,738.23659841885,25.367271438180047
9,209994359.75718772,4433.769551981119,1172.2485990508094,34.22465920617957
10,209992855.19151142,5399.047953909776,1700.7501180962076,45.0104044928211
11,209991023.082812,6574.461661790249,2344.3112104948937,58.144304337692574
12,209988792.1350341,8005.748151155176,3127.979276036743,74.13753016507603
13,209986075.53793636,9748.596265310274,4082.253280628152,93.61250985061643
14,209982767.59346855,11870.809593254635,5244.269797099244,117.32713263574344
15,209978739.60964784,14454.939286650822,6659.246842877595,146.20421520264958
16,209973834.9034284,17601.48776156972,8382.241434250787,181.3673701286332
17,209967862.7200237,21432.806450296768,10480.288851256551,224.18466435324777
18,209960590.83493212,26097.837039851365,13035.006261854238,276.32175436543736
19,209951736.55495277,31777.87736296582,16145.76112734889,339.8065475387944
20,209940955.77440837,38693.59135635909,19933.526347467785,417.10787856163455
21,209927829.6700976,47113.52850358565,24545.570171058545,511.23122190021
22,209911848.53113517,57364.473348284686,30161.16040783123,625.8351042833245
23,209892392.11525142,69844.01158758021,36998.50050060528,765.3726571970913
24,209868705.79782954,85035.77767646738,45323.160808724715,935.2636838934417
25,209839871.6311751,103527.9416295041,55458.32345816278,1142.1037379636266
26,209804773.25535107,126035.60161580543,67797.22497705935,1393.918054675795
27,209762053.39511386,153427.87561322018,82818.25948910255,1700.4697794113597
28,209710062.4368109,186760.6308814921,101103.29846065048,2073.633840055147
29,209646796.3026711,227315.95433171216,123359.89293357266,2527.850053788324
30,209569821.52739978,276649.64813204546,150448.15277487063,3080.671683202489
31,209476185.09685624,336648.22810667375,183413.2463293736,3753.428694518805
32,209362306.24005654,409597.0977115939,223524.63378156346,4572.028438441132
33,209223846.99173704,498261.75001953944,272323.33786859404,5567.920358584562
34,209055557.9960777,605983.9851198709,331678.7632149985,6779.255569735794
35,208851095.75541762,736795.1746123761,403856.79336262064,8252.276593156737
36,208602807.42577204,895548.4880640549,491601.10922859947,10042.976916951991
37,208301479.4506494,1088071.6138366896,598229.8615886185,12219.073903891416
38,207936046.99450874,1321340.7073848622,727749.95693227,14862.341155802527
39,207493262.55700955,1603674.8714670052,884991.2248788681,18071.346624100413
40,206957324.69203648,1944948.1255353417,1075762.54356686,21964.638842222434
41,206309471.92043433,2356812.177894845,1307031.4884261105,26684.413227105302
42,205527553.34845418,2852917.9062055033,1587128.0752203,32400.67010045507
