,S,I,R,M
0,209999890.55729017,959.2529895119999,-842.9092681,-6.901011552
1,209999590.10629654,1168.1029576491596,-753.1402624619163,-5.0689910287739135
2,209999224.2413345,1422.4234098238258,-643.826641714335,-2.838100809435494
3,209998778.7208965,1732.1137999780726,-510.71319505974986,-0.12149985730065341
4,209998236.2030936,2109.228659865134,-348.6183084622382,3.186559052852465
5,209997575.57077217,2568.4466804844583,-151.2322925371026,7.214845092141127
6,209996771.10980105,3127.6418607034834,89.12818485379107,12.120160957261552
7,209995791.50853696,3808.5789150819064,381.8191118118278,18.093445180894804
8,209994598.63963935,4637.759949948631,738.2332181433641,25.36720245296685
9,209993146.07690212,5647.455275499318,1172.2432870908901,34.22455079883405
10,209991377.28950965,6876.958345466175,1700.7419211106294,45.010237207401374
11,209989223.44375965,8374.113475126398,2344.2987304144285,58.14404964217399
12,209986600.7268946,10197.17550982377,3127.9604631140546,74.13714622788027
13,209983407.08955714,12417.073394101433,4082.2251292288397,93.61193533226371
14,209979518.28073788,15120.165100744289,5244.227898076504,117.32627755364568
15,209974783.02215508,18411.590189734667,6659.184724321572,146.20294747701078
16,209969017.13587314,22419.349061877507,8382.14958977111,181.36549575149147
17,209961996.3992477,27299.265564451733,10480.153306671333,224.18189813721622
18,209953447.85292232,33241.022961856936,13034.806459692492,276.3176767703052
19,209943039.22913542,40475.503540027195,16145.466802802253,339.8005409154025
20,209930366.0974786,49283.7105978785,19933.092912878175,417.0990329577538
21,209914936.24010125,60007.60982676816,24544.931894349553,511.2181958449201
22,209896150.66693768,73063.2968358872,30160.220327497333,625.8159189703773
23,209873280.5593274,88956.98079289506,36997.11551271194,765.3443921380167
24,209845439.2854705,108304.37291785503,45321.119611413174,935.2220268053964
25,209811548.4587109,131854.185064352,55455.313930423246,1142.0423190301244
26,209770296.80671856,160516.5799138988,67792.78593049891,1393.8274618888317
27,209720090.38253137,195397.57208046754,82811.70931281884,1700.3361023443617
28,209658992.37439525,237840.5594986518,101093.62961128594,2073.43651659875
29,209584650.45928505,289476.3660866949,123345.61596442708,2527.558687071111
30,209494209.2964825,352283.39634346083,150427.0658588021,3080.241337976666
31,209384205.37988898,428659.73232924746,183382.09485782616,3752.7929502017214
32,209250441.074439,521509.22850957763,223478.60794319617,4571.0891356174425
33,209087834.28113565,634343.8547013142,272255.3317084099,5566.5324777645965
34,208890239.8514591,771404.6605263,331578.28307738644,6777.204954682359
35,208650238.67898124,937803.7219762689,403708.3518823862,8249.24717519259
36,208358890.44650456,1139689.1847692903,491381.8661712508,10038.502568842836
37,208005446.4694948,1384434.8975431628,597906.165122256,12212.46785355763
38,207577020.19525263,1680854.927027461,727272.284988265,14852.592748782348
39,207058215.0358743,2039441.1851660192,884286.808202683,18056.970773566605
40,206430712.79850805,2472619.0977453482,1074724.6464963565,21943.457269355953
41,205672831.63674453,2995011.2241773577,1305503.9011202108,26653.23797596481
42,204759070.9309686,3623691.4232858457,1584882.7976552371,32354.848109332095
43,203659672.65636298,4378401.931310925,1922676.8089054148,39248.60344096856
44,202340245.43015766,5281692.037749098,2330491.186276924,47571.34583630619
45,200761519.06687763,6358919.700207169,2821959.913083026,57601.319852757886
46,198879323.8756684,7638036.968391224,3412976.2776489477,69662.87831328818
47,196644918.3721836,9149058.424147364,4121892.6444232594,84130.55926786616
48,194005817.29234445,10923093.187132033,4969657.634937767,101431.8856048963
49,190907290.83218357,12990812.785330482,5979848.359660219,122048.02284412959
50,187294703.33343956,15380240.5541377,7178544.895001586,146511.2174429297
51,183116818.22561234,18113797.694232993,8593986.303383218,175397.776797659
52,178330097.21572506,21204641.61461245,10255945.851098897,209315.31858777764
53,172903851.59511736,24652492.732143678,12194772.46411528,248883.20864934073
54,166825864.0304826,28439359.52594603,14440070.81953412,294705.62406605436
55,160107821.36189264,32525803.98232417,17019037.067502547,347337.58831031964
56,152789651.93948373,36848572.504454546,19954529.949779186,407245.606315956
57,144941746.50288245,41320457.491131805,23263029.99070762,474766.0153144807
58,136664163.72266984,45833064.2668893,26952706.47507371,550065.5354035879
59,128082335.00589241,50262704.0785705,31021851.60207047,633109.3135055918
60,119339440.69329947,54478984.43480305,35457933.27930617,723641.5926328491
61,110586365.45452519,58354999.00063561,40237452.738790385,821182.8060916997
62,101970717.58250129,61777559.36620239,45326678.495115705,925044.5562208038
63,93626608.44622825,64655840.25079661,50683190.181761034,1034361.1212544038
64,85666659.76506771,66927166.39984938,56258040.263225764,1148133.5718965542
65,78177131.76852912,68559326.91233069,61998260.39760235,1265280.9215776732
66,71216356.63402802,69549532.59162828,67849418.46369824,1384692.3106816805
67,64816044.201924175,69920712.5453829,73757968.2924809,1505274.9602486736
68,58984647.208109625,69716150.55834141,79673208.0937212,1625994.139865766
69,53711863.601030916,68993482.27320822,85548750.94808798,1745903.1777099592
70,48973456.01605747,67818890.35813798,91343490.45813012,1864163.1677108854
71,44735786.217163816,66262056.497914515,97022104.044064,1980053.2408932005
72,40959705.219826244,64392150.16130564,102555171.63132994,2092972.9875721112
73,37603648.64266614,62274911.22083778,107919001.23860532,2202438.8979246826
74,34625936.007666804,59970736.30541611,113095251.03802149,2308076.6489331033
75,31986361.265498046,57533601.77223415,118070426.12786363,2409610.834440155
