,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,1.65 milhões/ 1.25 milhões,1.57 milhões/ 1.16 milhões,1.53 milhões/ 1.12 milhões,1.46 milhões/ 1.04 milhões,1.29 milhões/ 0.87 milhões,1.20 milhões/ 0.78 milhões,1.14 milhões/ 0.72 milhões,1.01 milhões/ 0.59 milhões
0.5,2.23 milhões/ 1.25 milhões,2.17 milhões/ 1.16 milhões,2.14 milhões/ 1.12 milhões,2.07 milhões/ 1.04 milhões,1.91 milhões/ 0.86 milhões,1.82 milhões/ 0.78 milhões,1.76 milhões/ 0.71 milhões,1.63 milhões/ 0.58 milhões
0.7,2.63 milhões/ 1.25 milhões,2.57 milhões/ 1.16 milhões,2.54 milhões/ 1.12 milhões,2.48 milhões/ 1.04 milhões,2.32 milhões/ 0.86 milhões,2.24 milhões/ 0.77 milhões,2.18 milhões/ 0.71 milhões,2.05 milhões/ 0.58 milhões
0.832,2.89 milhões/ 1.24 milhões,2.83 milhões/ 1.15 milhões,2.81 milhões/ 1.11 milhões,2.75 milhões/ 1.04 milhões,2.59 milhões/ 0.86 milhões,2.51 milhões/ 0.77 milhões,2.45 milhões/ 0.71 milhões,2.32 milhões/ 0.58 milhões
1.0,3.21 milhões/ 1.24 milhões,3.17 milhões/ 1.15 milhões,3.15 milhões/ 1.11 milhões,3.09 milhões/ 1.03 milhões,2.94 milhões/ 0.86 milhões,2.86 milhões/ 0.77 milhões,2.80 milhões/ 0.71 milhões,2.67 milhões/ 0.57 milhões
1.2,3.60 milhões/ 1.23 milhões,3.57 milhões/ 1.15 milhões,3.55 milhões/ 1.11 milhões,3.50 milhões/ 1.03 milhões,3.36 milhões/ 0.85 milhões,3.27 milhões/ 0.76 milhões,3.22 milhões/ 0.70 milhões,3.09 milhões/ 0.57 milhões
1.5,4.19 milhões/ 1.23 milhões,4.17 milhões/ 1.14 milhões,4.16 milhões/ 1.10 milhões,4.11 milhões/ 1.02 milhões,3.98 milhões/ 0.85 milhões,3.90 milhões/ 0.76 milhões,3.84 milhões/ 0.70 milhões,3.72 milhões/ 0.57 milhões
