,S,I,R,M
51,162894995.53354928,27987788.135206576,18879243.648212016,237972.68301465196
52,155948294.81487224,31654177.069902234,22088054.96056192,309473.1546370869
53,148486674.7090893,35425420.72898527,25692697.484972846,395207.07690893195
54,140602189.34968594,39203188.93618398,29699229.421175968,495392.2929013917
55,132411314.02813299,42876320.15872263,34102521.4524239,609844.3606740865
56,124048005.0837709,46328755.42615865,38885297.43209532,737942.057916056
57,115654413.78371933,49448857.19115553,44018102.77954915,878626.2455113174
58,107370614.98456103,52138676.62687839,49460273.67045168,1030434.7180573063
59,99324931.87885262,54321677.20721545,55161820.96692458,1191569.9469474682
60,91626249.00708784,55947760.446241915,61065999.09359623,1359991.453002873
61,84359186.72152606,56995053.53240106,67112238.493163,1533521.2528342572
62,77582354.36957474,57468596.22633649,73239099.33460677,1709950.0694163619
63,71329317.11841299,57396600.11185311,79386949.15400615,1887133.6157244004
64,65611543.34608749,56825229.43677395,85500155.76875457,2063071.4483823108
65,60422481.69128576,55812863.38646051,91528690.31205419,2235964.6101966435
66,55741999.55786068,54424619.916914456,97429128.87756363,2404251.6476764306
67,51540609.794921465,52727654.821497254,103165110.31111251,2566625.0724838763
68,47783135.453495786,50787484.89140003,108707347.87427595,2722031.780838217
69,44431657.53401148,48665373.83079135,114033307.16321124,2869661.4719968126
70,41447732.10637642,46416682.100609794,119126658.82421716,3008926.9687921777
71,38793948.924594834,44090011.42287128,123976599.84034154,3139439.812193686
72,36434943.97569643,41726954.47138155,128577117.74915616,3260983.8037703177
73,34337987.4738337,39362271.63978711,132926252.42575924,3373488.460598283
74,32473259.61496989,37024344.156204544,137025392.51279646,3477003.7160229557
75,30813908.68067454,34735785.34826786,140878629.2853919,3571676.685685177
76,29335966.116453674,32514123.084419813,144492179.8716752,3657730.9274648866
77,28018174.522486642,30372493.155222267,147873883.97777158,3735448.3445239323
78,26841768.66836041,28320304.594733898,151032773.0440471,3805153.6928611356
79,25790237.093003385,26363853.862011,153978707.5071426,3867201.537841984
80,24849082.369499255,24506876.161705572,156722076.0297948,3921965.438988644
81,24005591.22716818,22751029.905697607,159273549.7538047,3969829.1133131795
82,23248620.892198507,21096315.293663204,161643884.49166858,4011179.322450081
83,22568404.732712552,19541430.978481438,163843764.04996526,4046400.238816636
84,21956378.155755084,18084074.385959376,165883678.39365435,4075869.0645992737
85,21405024.37041273,16721191.934538534,167773830.99486458,4099952.700164903
86,20907738.853786517,15449185.48222165,169524070.3813213,4119005.2826535255
87,20458710.951456286,14264081.049594026,171143841.55968738,4133366.43923995
88,20052820.881215725,13161665.389996976,172639733.93336093,4145779.7953965417
89,19685550.39755672,12137595.40711648,174019623.66785353,4157230.527436065
90,19352905.452826228,11187484.82431239,175291822.1174029,4167787.6054277155
91,19051349.31811649,10306971.930363843,176464162.71795547,4177516.0335335145
92,18777744.77614922,9491771.686384026,177544006.64051682,4186476.8969217343
93,18529304.15292459,8737714.989992043,178538253.40719387,4194727.449862173
94,18303546.104871217,8040777.459641721,179453355.20098743,4202321.234472507
95,18098258.21786546,7397099.7235247055,180295333.83703512,4209308.22155088
96,17911464.601255395,6803000.870827117,181069799.56131768,4215734.966573314
97,17741397.77303151,6254986.443494463,181781971.00814506,4221644.775306602
98,17586474.231531113,5749752.109080276,182436695.7847439,4227077.874625316
