,S,I,R,M
37,205877448.71917877,2631448.0641230815,1478995.4591325892,12107.757567523868
38,205006737.10603753,3183152.364657112,1795412.4323616002,14698.096945896123
39,203959125.36633903,3845144.3046630467,2177900.99928242,17829.329719414676
40,202701835.8969617,4637009.261447503,2639546.2648362727,21608.576761694698
41,201197437.9201079,5580699.244592461,3195701.309632187,26161.525670577397
42,199403825.13070142,6700305.126463494,3864235.2810783875,31634.461759765316
43,197274523.80804816,8021538.536289384,4665741.682453858,38195.97321192662
44,194759475.34043744,9570817.153588166,5623669.481577222,46038.02439642625
45,191806454.97403157,11373841.416027782,6764327.617178209,55375.992760622554
46,188363285.76402214,13453565.253472012,8116701.813315182,66447.16918582663
47,184380967.14735827,15827511.464947209,9712014.234576402,79507.1531159819
48,179817743.68478742,18504476.934287313,11582955.812901706,94823.56802100985
49,174643978.43651307,21480821.315301355,13762533.62271528,112666.62546312352
50,168847469.3287065,24736727.237885024,16282507.11007167,133296.32332711172
51,162438585.4780383,28233027.249556303,19171440.768299203,156946.50409978945
52,155454369.3339151,31909348.880652335,22452475.17788082,183806.60754557754
53,147960645.25155276,35684349.03618361,26141003.066430733,214002.64583149453
54,140051292.85465294,39458614.78183905,30242512.814068187,247579.54943961074
55,131844234.0568561,43120375.31884547,34750903.2529842,284487.37131725653
56,123474299.58236097,46553569.17354878,39647557.538943894,324573.7051499752
57,115083827.65110503,49647208.080527574,44901380.27906668,367583.98930712184
58,106812382.94110012,52304584.58597792,50469862.24980087,413170.22312809865
59,98787177.19588062,54450842.32015085,56301073.202996686,460907.2809777737
60,91115556.9714604,56037790.03930028,62336338.16752641,510314.8217205775
61,83880388.7685703,57045465.99665392,68513263.17602669,560882.0587543151
62,77138514.6031524,57480633.03296671,74768759.84324296,612092.5206426546
63,70921880.01252872,57372905.24030049,81041768.40398282,663446.343194979
64,65240585.608904265,56769464.086516455,87275471.90866536,714478.3959211528
65,60087011.4403149,55729316.492988795,93418900.6500767,764771.4166295509
66,55440256.74208888,54317858.40731922,99427920.74616876,813964.1044347655
67,51270336.95028239,52602238.60700506,105265669.75680193,861754.6859227853
68,47541802.53237843,50647755.13182813,110902541.54458886,907900.791214616
69,44216636.03634182,48515311.2728247,116315836.10354373,952216.5872975287
70,41256421.29368334,46259825.50528017,121489185.12560469,994568.0754403928
71,38623860.94100545,43929423.33687286,126411848.39101712,1034867.331111589
72,36283756.152445935,41565221.56744282,131077955.97975592,1073066.300362421
73,34203569.91761661,39201528.359731585,135485751.12122664,1109150.6014358732
74,32353685.153068405,36866310.541742854,139636870.67079234,1143133.6344060584
75,30707450.891315762,34581812.168925114,143535685.75636476,1175051.1833987625
