,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,1.76 milhões/ 1.51 milhões,2.25 milhões/ 1.96 milhões,2.43 milhões/ 2.12 milhões,2.70 milhões/ 2.36 milhões,3.03 milhões/ 2.66 milhões,3.10 milhões/ 2.71 milhões,3.11 milhões/ 2.72 milhões,3.08 milhões/ 2.67 milhões
0.5,2.12 milhões/ 1.51 milhões,2.68 milhões/ 1.95 milhões,2.88 milhões/ 2.11 milhões,3.19 milhões/ 2.35 milhões,3.58 milhões/ 2.64 milhões,3.67 milhões/ 2.70 milhões,3.69 milhões/ 2.70 milhões,3.67 milhões/ 2.66 milhões
0.7,2.36 milhões/ 1.50 milhões,2.96 milhões/ 1.94 milhões,3.18 milhões/ 2.10 milhões,3.52 milhões/ 2.34 milhões,3.95 milhões/ 2.63 milhões,4.04 milhões/ 2.69 milhões,4.08 milhões/ 2.69 milhões,4.07 milhões/ 2.65 milhões
0.832,2.51 milhões/ 1.50 milhões,3.15 milhões/ 1.94 milhões,3.38 milhões/ 2.10 milhões,3.73 milhões/ 2.34 milhões,4.19 milhões/ 2.63 milhões,4.29 milhões/ 2.68 milhões,4.33 milhões/ 2.69 milhões,4.33 milhões/ 2.64 milhões
1.0,2.72 milhões/ 1.49 milhões,3.38 milhões/ 1.93 milhões,3.63 milhões/ 2.09 milhões,4.01 milhões/ 2.33 milhões,4.50 milhões/ 2.62 milhões,4.61 milhões/ 2.67 milhões,4.65 milhões/ 2.68 milhões,4.66 milhões/ 2.64 milhões
1.2,2.95 milhões/ 1.49 milhões,3.67 milhões/ 1.93 milhões,3.93 milhões/ 2.09 milhões,4.33 milhões/ 2.33 milhões,4.86 milhões/ 2.61 milhões,4.99 milhões/ 2.66 milhões,5.04 milhões/ 2.67 milhões,5.06 milhões/ 2.63 milhões
1.5,3.31 milhões/ 1.48 milhões,4.09 milhões/ 1.92 milhões,4.38 milhões/ 2.08 milhões,4.82 milhões/ 2.31 milhões,5.41 milhões/ 2.60 milhões,5.56 milhões/ 2.65 milhões,5.62 milhões/ 2.66 milhões,5.66 milhões/ 2.61 milhões
