,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,0.32 milhões/ 0.06 milhões,0.45 milhões/ 0.15 milhões,0.49 milhões/ 0.18 milhões,0.56 milhões/ 0.22 milhões,0.64 milhões/ 0.26 milhões,0.64 milhões/ 0.25 milhões,0.64 milhões/ 0.24 milhões,0.61 milhões/ 0.20 milhões
0.5,0.73 milhões/ 0.06 milhões,0.91 milhões/ 0.14 milhões,0.98 milhões/ 0.17 milhões,1.08 milhões/ 0.22 milhões,1.21 milhões/ 0.25 milhões,1.23 milhões/ 0.25 milhões,1.24 milhões/ 0.23 milhões,1.22 milhões/ 0.19 milhões
0.7,1.01 milhões/ 0.06 milhões,1.22 milhões/ 0.14 milhões,1.31 milhões/ 0.17 milhões,1.44 milhões/ 0.22 milhões,1.60 milhões/ 0.25 milhões,1.63 milhões/ 0.24 milhões,1.64 milhões/ 0.23 milhões,1.63 milhões/ 0.19 milhões
0.832,1.19 milhões/ 0.06 milhões,1.43 milhões/ 0.14 milhões,1.53 milhões/ 0.17 milhões,1.67 milhões/ 0.21 milhões,1.85 milhões/ 0.25 milhões,1.89 milhões/ 0.24 milhões,1.91 milhões/ 0.23 milhões,1.90 milhões/ 0.19 milhões
1.0,1.43 milhões/ 0.06 milhões,1.70 milhões/ 0.14 milhões,1.80 milhões/ 0.17 milhões,1.97 milhões/ 0.21 milhões,2.18 milhões/ 0.25 milhões,2.23 milhões/ 0.24 milhões,2.24 milhões/ 0.23 milhões,2.25 milhões/ 0.19 milhões
1.2,1.72 milhões/ 0.06 milhões,2.02 milhões/ 0.14 milhões,2.14 milhões/ 0.17 milhões,2.33 milhões/ 0.21 milhões,2.57 milhões/ 0.25 milhões,2.63 milhões/ 0.24 milhões,2.65 milhões/ 0.23 milhões,2.66 milhões/ 0.19 milhões
1.5,2.15 milhões/ 0.06 milhões,2.51 milhões/ 0.14 milhões,2.65 milhões/ 0.17 milhões,2.86 milhões/ 0.21 milhões,3.15 milhões/ 0.24 milhões,3.23 milhões/ 0.24 milhões,3.25 milhões/ 0.22 milhões,3.27 milhões/ 0.18 milhões
