,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,1.22 milhões/ 0.98 milhões,1.47 milhões/ 1.18 milhões,1.57 milhões/ 1.26 milhões,1.72 milhões/ 1.38 milhões,1.92 milhões/ 1.55 milhões,1.98 milhões/ 1.59 milhões,2.01 milhões/ 1.62 milhões,2.04 milhões/ 1.64 milhões
0.5,1.59 milhões/ 0.97 milhões,1.91 milhões/ 1.18 milhões,2.03 milhões/ 1.26 milhões,2.21 milhões/ 1.38 milhões,2.48 milhões/ 1.54 milhões,2.56 milhões/ 1.59 milhões,2.60 milhões/ 1.61 milhões,2.65 milhões/ 1.63 milhões
0.7,1.83 milhões/ 0.97 milhões,2.19 milhões/ 1.18 milhões,2.33 milhões/ 1.25 milhões,2.54 milhões/ 1.37 milhões,2.85 milhões/ 1.54 milhões,2.94 milhões/ 1.58 milhões,2.99 milhões/ 1.61 milhões,3.05 milhões/ 1.63 milhões
0.832,1.99 milhões/ 0.97 milhões,2.38 milhões/ 1.18 milhões,2.53 milhões/ 1.25 milhões,2.76 milhões/ 1.37 milhões,3.10 milhões/ 1.54 milhões,3.20 milhões/ 1.58 milhões,3.25 milhões/ 1.60 milhões,3.31 milhões/ 1.63 milhões
1.0,2.19 milhões/ 0.97 milhões,2.62 milhões/ 1.17 milhões,2.79 milhões/ 1.25 milhões,3.04 milhões/ 1.37 milhões,3.41 milhões/ 1.53 milhões,3.52 milhões/ 1.58 milhões,3.58 milhões/ 1.60 milhões,3.65 milhões/ 1.62 milhões
1.2,2.43 milhões/ 0.97 milhões,2.91 milhões/ 1.17 milhões,3.09 milhões/ 1.25 milhões,3.37 milhões/ 1.37 milhões,3.78 milhões/ 1.53 milhões,3.90 milhões/ 1.58 milhões,3.97 milhões/ 1.60 milhões,4.05 milhões/ 1.62 milhões
1.5,2.80 milhões/ 0.96 milhões,3.34 milhões/ 1.17 milhões,3.55 milhões/ 1.24 milhões,3.87 milhões/ 1.36 milhões,4.34 milhões/ 1.52 milhões,4.48 milhões/ 1.57 milhões,4.55 milhões/ 1.59 milhões,4.66 milhões/ 1.61 milhões
