,S,I,R,M
0,209999507.0185686,909.8536525019148,-409.9712095637598,-6.901011552
1,209999198.25697836,1107.9476649408032,-301.1356517364565,-5.068991584954466
2,209998822.27229047,1349.1701796097339,-168.6043685532867,-2.838103427657696
3,209998364.4292174,1642.9106944276377,-7.218405592217076,-0.1215068258863855
4,209997806.90637985,2000.6027361594706,189.30433883490983,3.1865443198647405
5,209997128.00281405,2436.1687556025604,428.61361136308494,7.214817563673579
6,209996301.29355204,2966.561820300441,720.0245158502496,12.120113280376865
7,209995294.60146832,3612.4251477216035,1074.8800174817056,18.093366667255566
8,209994068.74550217,4398.8950878555115,1506.9923323059834,25.3670776176829
9,209992576.0165577,5356.578716833619,2033.1803579889688,34.22435724867523
10,209990758.32206574,6522.7439536722995,2673.9240274142417,45.009942581071236
11,209988544.9270659,7942.768316002619,3454.160999275419,58.143607166546005
12,209985849.7044921,9671.90239616028,4404.256612450926,74.13648824959714
13,209982567.78805697,11777.4162380847,5561.184733882928,93.61096388248765
14,209978571.4983902,14341.211475190423,6969.965277259129,117.32485055861837
15,209973705.38517898,17462.99988579487,8685.414069441013,146.20085856979077
16,209967780.19420928,21264.170576120156,10774.272764235957,181.36244466900564
17,209960565.52738053,25892.494072730737,13317.801095398681,224.1774472514306
18,209951780.91425622,31527.84309647287,16414.931459044896,276.31118717992774
19,209941084.95390433,38389.14775420402,20186.107261999143,339.79107838619876
20,209928062.11378703,46742.84854912624,24777.95243240895,417.08522935770304
21,209912206.68570796,56913.16538079751,30368.95086997865,511.19804485500765
22,209892903.29487738,69294.56616430069,37176.35248502206,625.7864746974672
23,209869403.23400876,84366.89658118707,45464.56808760624,765.3013242396199
24,209840795.74623606,102713.7246174983,55555.37018384991,935.158963533905
25,209805973.20599273,125044.56177022253,67840.28235865232,1141.9498767881178
26,209763588.9412576,152221.7487325524,82795.61820404009,1393.6918114056398
27,209712006.2013965,185292.93809435086,101000.72367165571,1700.1368500000963
28,209649236.499928,225530.27017316714,123160.08633647634,2073.143573807855
29,209572865.25030392,274477.51873973984,150130.10332164148,2527.127644958376
30,209479962.26891637,334006.6762857364,182951.4481715792,3079.6066353796878
31,209366974.35170302,406385.64389978437,222888.146625977,3751.8577860782616
32,209229596.75641242,494358.87155498064,271474.66146584577,4569.71058246884
33,209062620.07399392,601242.932126607,330572.49436535157,5564.499528677089
34,208859748.7012574,731039.0615341311,402438.0310443141,6774.206179395243
35,208613387.01616937,888564.588808125,489803.5719154239,8244.82312208198
36,208314389.53196815,1079604.8106468003,595973.6815768238,10031.97582002415
37,207951771.9523627,1311086.0861021646,724939.1211210084,12202.840425492834
38,207512381.43316013,1591269.528684641,881510.6422436995,14838.395924942928
39,206980526.84472832,1929962.3695884263,1071474.7397928059,18036.045908819873
40,206337573.91817322,2338740.4826447917,1301772.9623064059,21912.63689105611
41,205561516.47635588,2831170.234548388,1580705.40541265,26607.8836966839
42,204626544.25079814,3423010.2212938694,1918157.3435860698,32288.184335496004
43,203502640.87525842,4132363.0461023077,2325845.3163015423,39150.76234997387
44,202155263.22564194,4979733.716657003,2817575.049329513,47428.00838317238
45,200545175.6201638,5987934.565197076,3409498.015799578,57391.79884994897
46,198628538.8170276,7181757.807863807,4120345.9319326994,69357.44318426629
47,196357381.79324055,8587318.525105987,4971612.931301084,83686.75036349209
48,193680608.6838394,10230957.939191533,5987643.861783416,100789.51520376075
49,190545704.84001973,12137597.539313128,7195575.098613315,121122.52207088839
50,186901291.11486664,14328460.372365033,8625063.529868502,145184.9829154902
51,182700617.1042195,16818140.277489007,10305166.10707007,176076.51123736927
52,177905965.39749175,19611114.8039252,12263506.959013093,219412.83958226346
53,172493751.39021713,22697965.71958106,14531675.99617295,276606.8940437465
54,166459858.2011068,26051775.895644575,17139378.592458945,348987.3107997623
55,159824486.75000432,29625368.05618661,20112436.185137387,437709.0086815962
56,152635605.95654115,33350165.292163305,23470574.488972437,543654.2623359638
57,144970058.18261626,37137398.35056143,27225209.77788108,667333.6889525315
58,136931595.8581789,40882097.65527035,31377507.089246724,808799.3973120783
59,128645614.30282314,44469797.13152187,35917005.08394457,967583.4817193095
60,120251013.18723989,47785251.64280526,40821061.931909055,1142673.2380537884
61,111890274.6814364,50721922.88652316,46055272.604008384,1332529.8280383204
62,103699267.9845162,53190721.95768437,51574859.57635583,1535150.4814544576
63,95798325.49367736,55126624.293923825,57326882.867635064,1748167.3447733496
64,88285779.2220875,56492257.67827354,63252992.50843402,1968970.5912148452
65,81234537.90019976,57278234.88561784,69292386.49275494,2194840.7214349043
66,74691639.10847712,57500637.56740901,75384647.86579263,2423075.4583250843
67,68680214.04560576,57196484.10577239,81472202.1863677,2651099.662258775
68,63203049.1723672,56418165.09022228,87502234.65852839,2876551.07888933
69,58246911.352159105,55227742.45879975,93428006.95228368,3097339.2367651206
70,53786947.975228816,53691776.78331393,99209596.71778598,3311678.5236774217
71,49790690.25894181,51877072.46803092,104814138.3190457,3518098.9539892394
72,46221403.39316695,49847486.21508135,110215671.01361072,3715439.3781478335
73,43040699.52178916,47661766.256197885,115394706.09960446,3902828.122413236
74,40210445.12481663,45372284.288253725,120337614.96871161,4079655.6182232616
75,37694057.91832509,43024476.65796667,125035922.62059212,4245542.803119487
76,35457312.831363894,40656807.58965437,129485571.38962923,4400308.189356549
77,33468776.006289605,38301087.499720536,133686200.83839487,4543935.655602234
78,31699971.731088858,35983010.20820389,137640473.7597721,4676544.300944825
79,30125367.8833711,33722805.37285747,141353465.60788453,4798361.13589091
80,28722245.78004815,31535931.904922117,144832125.34733653,4909696.9676967515
81,27470502.82150378,29433762.41353328,148084809.21795803,5010925.547004057
82,26352421.969348345,27424227.490774147,151120884.6861574,5102465.853718499
83,25352430.98092316,25512402.39856705,153950399.33317938,5184767.287331861
84,24456866.08022534,23701028.3192114,156583808.13177407,5258297.468790039
85,23653748.852418672,21990966.709968936,159031752.09741586,5323532.340195808
86,22932581.078351002,20381589.295311637,161304881.37437955,5380948.2519573495
87,22284159.510313362,18871108.527564865,163413716.2172303,5431015.744888674
88,21700410.85136931,17456854.48286517,165368539.90518272,5474194.760575917
89,21174246.14502111,16135504.53223319,167179318.28018847,5510931.042546674
90,20699433.191809252,14903272.022502068,168855641.2651306,5541653.520546977
91,20270485.327261776,13756059.81720839,170405709.16979495,5567745.685720762
92,19882564.810461793,12689584.017242998,171836029.0303362,5591822.141945722
93,19531399.107979514,11699472.592309274,173155102.30611238,5614025.993586187
94,19213208.462417457,10781343.061835289,174370956.11527508,5634492.360459919
95,18924643.274536032,9930862.800223555,175491145.50910836,5653348.4161218135
96,18662729.981121838,9143795.023664169,176522761.47266525,5670713.522538342
97,18424824.264141243,8416033.051965622,177472443.24638638,5686699.4374960335
98,18208570.572471306,7743625.030659066,178346393.8214252,5701410.575433341
99,18011867.07156726,7122790.944082549,179150397.67830655,5714944.306033993
100,17832835.25697785,6549933.445343405,179889840.01970023,5727391.27797
101,17669793.574327487,6021643.7691036025,180569726.89883706,5738835.757722536
102,17521234.48182195,5534703.772875428,181194705.76979432,5749355.975502683
103,17385804.47237457,5086084.96688017,181769086.08871263,5759024.472030229
