,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,1.27 milhões/ 0.91 milhões,1.25 milhões/ 0.87 milhões,1.24 milhões/ 0.86 milhões,1.21 milhões/ 0.81 milhões,1.10 milhões/ 0.69 milhões,1.04 milhões/ 0.62 milhões,0.99 milhões/ 0.58 milhões,0.89 milhões/ 0.47 milhões
0.5,1.81 milhões/ 0.91 milhões,1.81 milhões/ 0.87 milhões,1.81 milhões/ 0.85 milhões,1.79 milhões/ 0.81 milhões,1.71 milhões/ 0.69 milhões,1.65 milhões/ 0.62 milhões,1.61 milhões/ 0.57 milhões,1.51 milhões/ 0.46 milhões
0.7,2.16 milhões/ 0.91 milhões,2.19 milhões/ 0.87 milhões,2.19 milhões/ 0.85 milhões,2.19 milhões/ 0.80 milhões,2.12 milhões/ 0.69 milhões,2.06 milhões/ 0.62 milhões,2.02 milhões/ 0.57 milhões,1.92 milhões/ 0.46 milhões
0.832,2.40 milhões/ 0.91 milhões,2.44 milhões/ 0.87 milhões,2.44 milhões/ 0.85 milhões,2.44 milhões/ 0.80 milhões,2.39 milhões/ 0.68 milhões,2.33 milhões/ 0.62 milhões,2.29 milhões/ 0.57 milhões,2.20 milhões/ 0.46 milhões
1.0,2.69 milhões/ 0.90 milhões,2.75 milhões/ 0.86 milhões,2.77 milhões/ 0.84 milhões,2.77 milhões/ 0.80 milhões,2.73 milhões/ 0.68 milhões,2.68 milhões/ 0.61 milhões,2.64 milhões/ 0.57 milhões,2.55 milhões/ 0.46 milhões
1.2,3.05 milhões/ 0.90 milhões,3.13 milhões/ 0.86 milhões,3.15 milhões/ 0.84 milhões,3.16 milhões/ 0.79 milhões,3.13 milhões/ 0.68 milhões,3.09 milhões/ 0.61 milhões,3.05 milhões/ 0.56 milhões,2.96 milhões/ 0.46 milhões
1.5,3.58 milhões/ 0.89 milhões,3.69 milhões/ 0.86 milhões,3.72 milhões/ 0.84 milhões,3.75 milhões/ 0.79 milhões,3.74 milhões/ 0.67 milhões,3.70 milhões/ 0.60 milhões,3.67 milhões/ 0.56 milhões,3.59 milhões/ 0.45 milhões
