,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,1.24 milhões/ 0.86 milhões,1.20 milhões/ 0.81 milhões,1.18 milhões/ 0.78 milhões,1.14 milhões/ 0.73 milhões,1.03 milhões/ 0.61 milhões,0.97 milhões/ 0.55 milhões,0.92 milhões/ 0.50 milhões,0.82 milhões/ 0.40 milhões
0.5,2.02 milhões/ 1.05 milhões,1.98 milhões/ 0.98 milhões,1.95 milhões/ 0.94 milhões,1.90 milhões/ 0.88 milhões,1.77 milhões/ 0.73 milhões,1.70 milhões/ 0.65 milhões,1.65 milhões/ 0.60 milhões,1.53 milhões/ 0.48 milhões
0.7,2.46 milhões/ 1.10 milhões,2.43 milhões/ 1.02 milhões,2.40 milhões/ 0.99 milhões,2.35 milhões/ 0.92 milhões,2.22 milhões/ 0.76 milhões,2.14 milhões/ 0.68 milhões,2.09 milhões/ 0.62 milhões,1.97 milhões/ 0.51 milhões
0.832,2.74 milhões/ 1.11 milhões,2.71 milhões/ 1.04 milhões,2.69 milhões/ 1.00 milhões,2.64 milhões/ 0.93 milhões,2.51 milhões/ 0.77 milhões,2.43 milhões/ 0.69 milhões,2.38 milhões/ 0.63 milhões,2.26 milhões/ 0.51 milhões
1.0,3.09 milhões/ 1.13 milhões,3.06 milhões/ 1.05 milhões,3.04 milhões/ 1.02 milhões,3.00 milhões/ 0.94 milhões,2.87 milhões/ 0.78 milhões,2.79 milhões/ 0.70 milhões,2.74 milhões/ 0.64 milhões,2.62 milhões/ 0.52 milhões
1.2,3.50 milhões/ 1.14 milhões,3.48 milhões/ 1.06 milhões,3.46 milhões/ 1.03 milhões,3.42 milhões/ 0.96 milhões,3.29 milhões/ 0.79 milhões,3.22 milhões/ 0.71 milhões,3.16 milhões/ 0.65 milhões,3.04 milhões/ 0.53 milhões
1.5,4.10 milhões/ 1.15 milhões,4.10 milhões/ 1.08 milhões,4.08 milhões/ 1.04 milhões,4.05 milhões/ 0.97 milhões,3.92 milhões/ 0.80 milhões,3.85 milhões/ 0.71 milhões,3.80 milhões/ 0.66 milhões,3.68 milhões/ 0.53 milhões
