,S,I,R,M
0,209999374.64036143,1154.1727843157091,-521.9121341951264,-6.901011552
1,209998983.0107743,1405.4327950595482,-383.37438074615216,-5.069188579702407
2,209998506.125718,1711.3902862703092,-214.67742031988516,-2.8385838544754005
3,209997925.42624494,2083.9519796713375,-9.255838217889696,-0.12238582374330281
4,209997218.3137006,2537.616237721902,240.8849482106247,3.185114315972099
5,209996357.27056247,3090.037043459121,545.4797591094091,7.212635752953845
6,209995308.79002085,3762.710651979449,916.3824121508063,12.116916235440545
7,209994032.07272857,4581.81156755068,1368.0268950736724,18.08880995056643
8,209992477.4401403,5579.210277985241,1917.9888708408635,25.36071205681478
9,209990584.40287498,6793.712201303818,2587.6693265538383,34.21559826893739
10,209988279.3092257,8272.565834270887,3403.1269104381454,44.99803047896845
11,209985472.48272946,10073.298458467636,4396.091257508719,58.12755550989299
12,209982054.73803824,12265.95034315988,5605.196603153733,74.11501663828581
13,209977893.14045167,14935.793649187186,7077.483490082368,93.58240999602322
14,209972825.84549794,18186.640740207196,8870.226708339404,117.28705460644363
15,209966655.81982392,22144.86901017892,11053.160156918733,146.15101073792
16,209959143.20214802,26964.31642675913,13711.184544067606,181.29688261825117
17,209949996.01160637,32832.23469919071,16947.66230993282,224.09138572837963
18,209938858.84872365,39976.52639507905,20888.42652750065,276.1983547128882
19,209925299.15944916,48674.53971476157,25686.65761108943,339.6432259230132
20,209908790.54273522,59263.751426189956,31528.81437799269,416.89146120148473
21,209888692.47434017,72154.73628279235,38641.84547639126,510.9439013799145
22,209864225.69077858,87846.90185300521,47301.95470326148,625.4526661710983
23,209834442.324326,106947.56292540682,57845.250778121495,764.8619713810102
24,209798189.69914678,130195.04131736186,70680.68039972856,934.5791369537053
25,209754066.48655066,158486.6065500744,86305.7247649305,1141.18213504468
26,209700369.67112678,192912.2213896078,105325.4361817351,1392.6713026715124
27,209635030.49719116,234795.22344804058,128475.5050159645,1698.7743456693274
28,209555537.2469853,285741.25760222954,156650.17989843144,2071.315515147209
29,209458842.35247442,347696.9682658428,190936.01739655822,2524.661864354923
