,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,0.38 milhões/ 0.06 milhões,0.47 milhões/ 0.15 milhões,0.51 milhões/ 0.18 milhões,0.58 milhões/ 0.22 milhões,0.64 milhões/ 0.26 milhões,0.65 milhões/ 0.25 milhões,0.64 milhões/ 0.24 milhões,0.61 milhões/ 0.20 milhões
0.5,0.87 milhões/ 0.06 milhões,0.98 milhões/ 0.14 milhões,1.04 milhões/ 0.17 milhões,1.12 milhões/ 0.22 milhões,1.23 milhões/ 0.25 milhões,1.25 milhões/ 0.25 milhões,1.25 milhões/ 0.23 milhões,1.23 milhões/ 0.19 milhões
0.7,1.20 milhões/ 0.06 milhões,1.33 milhões/ 0.14 milhões,1.39 milhões/ 0.17 milhões,1.50 milhões/ 0.22 milhões,1.63 milhões/ 0.25 milhões,1.66 milhões/ 0.24 milhões,1.66 milhões/ 0.23 milhões,1.64 milhões/ 0.19 milhões
0.832,1.42 milhões/ 0.06 milhões,1.56 milhões/ 0.14 milhões,1.63 milhões/ 0.17 milhões,1.74 milhões/ 0.21 milhões,1.89 milhões/ 0.25 milhões,1.92 milhões/ 0.24 milhões,1.93 milhões/ 0.23 milhões,1.91 milhões/ 0.19 milhões
1.0,1.70 milhões/ 0.06 milhões,1.86 milhões/ 0.14 milhões,1.94 milhões/ 0.17 milhões,2.06 milhões/ 0.21 milhões,2.23 milhões/ 0.25 milhões,2.26 milhões/ 0.24 milhões,2.27 milhões/ 0.23 milhões,2.26 milhões/ 0.19 milhões
1.2,2.04 milhões/ 0.06 milhões,2.22 milhões/ 0.14 milhões,2.30 milhões/ 0.17 milhões,2.44 milhões/ 0.21 milhões,2.63 milhões/ 0.25 milhões,2.67 milhões/ 0.24 milhões,2.68 milhões/ 0.23 milhões,2.68 milhões/ 0.19 milhões
1.5,2.56 milhões/ 0.06 milhões,2.76 milhões/ 0.14 milhões,2.85 milhões/ 0.17 milhões,3.01 milhões/ 0.21 milhões,3.23 milhões/ 0.24 milhões,3.28 milhões/ 0.24 milhões,3.30 milhões/ 0.22 milhões,3.30 milhões/ 0.18 milhões
