,S,I,R,M
93,19150914.44996178,10599359.732224425,175227201.73871434,5022524.079134822
94,18868116.08033224,9762387.844905255,176332358.99381438,5037137.08098821
95,18611394.932121024,8987964.373728255,177350047.17591363,5050593.518271138
96,18378169.776472524,8272013.010427224,178286836.94128978,5062980.27184341
97,18166140.455384314,7610616.38560276,179148864.6786087,5074378.480437535
98,17973253.858679425,7000031.68174468,179941850.67869633,5084863.780909891
99,17797674.420036193,6436700.345943096,180671118.66752818,5094506.566516353
100,17637758.49516276,5917253.119414963,181341616.12980717,5103372.255642197
101,17492032.075966302,5438511.388310451,181957934.9707498,5111521.565003756
102,17359171.373208784,4997485.681211718,182524332.16296136,5119010.782652349
103,17237985.86792047,4591371.988638399,183044750.10629517,5125892.037184419
104,17127403.489961036,4217546.454534364,183522836.4951057,5132213.560436798
105,17026457.631856356,3873558.885384918,183961963.5411319,5138019.941662419
106,16934275.748427883,3557125.4360680217,184365246.44378406,5143352.371754818
107,16850069.32889616,3266120.7599524297,184735561.0346343,5148248.876553014
108,16773125.058879947,2998569.8517141296,185075560.5508115,5152744.538629226
109,16702797.015873091,2752639.7627946055,185387691.51411435,5156871.707250912
110,16638499.764054213,2526631.3296349393,185674208.7098996,5160660.196439909
111,16579702.233188992,2318971.0223160344,185937189.27329296,5164137.471228214
112,16525922.282519808,2128202.994783331,186178545.90038106,5167328.822343676
113,16476721.864253335,1952981.3963980298,186400039.2097143,5170257.529661028
114,16431702.712950988,1792062.9872698889,186603289.28497988,5172945.014824678
115,16390502.497120805,1644300.0859628224,186789786.43344373,5175410.983503358
116,16352791.377828173,1508633.8671182948,186960901.1973166,5177673.557766061
117,16318268.926447097,1384088.017815876,187117893.6566771,5179749.399089955
118,16286661.359922905,1269762.754658144,187261922.06293052,5181653.8225174565
119,16257719.057277229,1164829.1982893278,187394050.8419868,5183400.902477596
120,16231214.325699346,1068524.0980410834,187515258.005508,5185003.570782885
121,16206939.38853599,980144.8964076103,187626442.0077986,5186473.707294365
122,16184704.57090883,899045.1208903884,187728428.0845052,5187822.223734791
123,16164336.661653696,824630.0892554246,187821974.10801527,5189059.141113421
124,16145677.432819003,756352.913280628,187907775.99274322,5190193.661196172
125,16128582.300198188,693710.7855283456,187986472.68186635,5191234.232444129
126,16112919.110283174,636241.5334662454,188058650.74547473,5192188.61081182
127,16098567.04071092,583520.4253065479,188124848.6182381,5193063.915781229
128,16085415.602740014,535157.212177725,188185560.5031367,5193866.681978006
129,16073363.735567939,490793.391636422,188241239.96612445,5194602.906702671
130,16062318.983427322,450099.6780296871,188292303.2448984,5195278.09368071
131,16052196.747374747,412773.66579733754,188339132.29354826,5195897.293320816
132,16042919.60455891,378537.6724366325,188382077.58330047,5196465.139747938
133,16034416.688510088,347136.7485140247,188421460.67816254,5196985.884859758
134,16026623.124667345,318336.84278770717,188457576.6029571,5197463.429637628
135,16019479.515955297,291923.11118571326,188490696.0199762,5197901.352928563
136,16012931.473749764,267698.3590590547,188521067.2293393,5198302.937894606
137,16006929.190035352,245481.60678900394,188548918.0069027,5198671.19631421
138,16001427.046982192,225106.76946826174,188574457.2926838,5199008.890908111
139,15996383.26052828,206421.4419920331,188597876.74167404,5199318.555844835
140,15991759.554898158,189285.78148488922,188619352.1480806,5199602.515572975
141,15987520.86527076,173571.4795512275,188639044.75310448,5199862.90211285
142,15983635.066084942,159160.81736933347,188657102.44565228,5200101.670933685
143,15980072.722700836,145945.79715208514,188673660.86465797,5200320.615528994
144,15976806.864354156,133827.34397057627,188688844.41092512,5200521.380794396
145,15973812.77652736,122714.5723814907,188702767.17582414,5200705.475309705
146,15971067.811038263,112524.11271502594,188715533.79368165,5200874.282608015
147,15968551.212294798,103179.49226918232,188727240.22395703,5201029.07151842
148,15966243.958318884,94610.56701882945,188737974.4690503,5201171.005657271
149,15964128.615252046,86752.99978576366,188747817.2328723,5201301.152136616
150,15962189.20418037,79547.78112986148,188756842.52518097,5201420.489554562
151,15960411.079224043,72940.78951309697,188765118.21598104,5201529.915325651
152,15958780.815916004,66882.38755843155,188772706.54416287,5201630.252407294
153,15957286.108993093,61327.05147615033,188779664.58410507,5201722.2554684775
154,15955915.67879629,56233.03096208676,188786044.67373404,5201806.616550246
155,15954659.185545146,51562.03708643248,188791894.80715343,5201883.970257282
156,15953507.150815103,47278.95589007325,188797258.99481735,5201954.898520108
157,15952450.885609627,43351.58558822142,188802177.59388092,5202019.934963474
158,15951482.424464505,39750.3954499773,188806687.61121413,5202079.568912698
159,15950594.465077603,36448.30457809987,188810822.98131916,5202134.249068501
160,15949780.312994208,33420.478956801206,188814614.8212131,5202184.386877521
161,15949033.830921996,30644.14526762073,188818091.66424,5202230.359623231
162,15948349.39228836,28098.420095169415,188821279.67440835,5202272.513260996
163,15947721.838677887,25764.15325672762,188824202.8431006,5202311.165017834
164,15947146.440827679,23623.784092788355,188826883.1693559,5202346.605777411
165,15946618.862882372,21661.209650605433,188829340.82525504,5202379.102266047
166,15946135.129631033,19861.663780120973,188831594.30758256,5202408.899058666
167,15945691.596478727,18211.606241907986,188833660.5769156,5202436.220417213
168,15945284.921923632,16698.62100057966,188835555.18515152,5202461.271977568
169,15944912.042330261,15311.322944946005,188837292.39249042,5202484.242295894
170,15944570.148803862,14039.272338530654,188838885.2746523,5202505.304266885
171,15944256.665994544,12872.89636131228,188840345.82128143,5202524.616424058
172,15943969.232665509,11803.417156170617,188841685.02610943,5202542.324132607
173,15943705.683881246,10822.785841815805,188842912.9696576,5202558.56068287
174,15943464.034679392,9923.621998352326,188844038.89509222,5202573.448293114
175,15943242.465101574,9099.158172352325,188845071.27776006,5202587.0990290055
176,15943039.306469517,8343.188985722776,188846017.88896146,5202599.615647031
177,15942853.028806588,7650.024466965653,188846885.8544256,5202611.092367503
178,15942682.229303144,7014.447254958119,188847681.70792383,5202621.615583611
179,15942525.621743638,6431.673354283885,188848411.44045606,5202631.264511692
180,15942382.026812188,5897.316147702807,188849080.5453209,5202640.111787066
181,15942250.363205003,5407.353395691639,188849694.05945542,5202648.224011032
182,15942129.63948359,4958.096975347781,188850256.60135546,5202655.662251867
183,15942018.946603414,4546.1651314456485,188850772.4058269,5202662.482504509
184,15941917.451064294,4168.457031257853,188851245.35585776,5202668.736112031
185,15941824.38863253,3822.129432009497,188851679.0118484,5202674.470151903
186,15941739.058582745,3504.5752856723907,188852076.63840666,5202679.727790676
187,15941660.818419278,3213.4041203327797,188852441.22891754,5202684.548608517
188,15941589.079036629,2946.4240506911597,188852775.52808076,5202688.968897354
189,15941523.300282445,2701.625282477728,188853082.0525668,5202693.0219340315
190,15941462.986888627,2477.1649867782753,188853363.10996044,5202696.738230703
191,15941407.684741441,2271.353430550591,188853620.81613076,5202700.145764521
192,15941356.97746099,2082.6412590442883,188853857.11115816,5202703.270188349
193,15941310.483266318,1909.6078344869045,188854073.77394152,5202706.135023797
194,15941267.85209927,1750.9505433361442,188854272.43558487,5202708.761838153
195,15941228.762988904,1605.4749916742915,188854454.59167826,5202711.170406991
196,15941192.92163398,1472.0860149950413,188854621.61355433,5202713.378862822
197,15941160.0581869,1349.779434753941,188854774.75861305,5202715.403831682
198,15941129.925221937,1237.6344996672492,188854915.1797875,5202717.260558303
199,15941102.29587172,1134.806954891928,188855043.93422008,5202718.963020771
200,15941076.962119209,1040.5226869396656,188855161.99122497,5202720.524035933
201,15941053.733231291,954.071896508327,188855270.23958364,5202721.955355732
202,15941032.434322426,874.8037553831357,188855369.49423385,5202723.267755741
203,15941012.905038025,802.1215072016661,188855460.50240642,5202724.471116233
204,15940994.998347193,735.4779752142014,188855543.9492486,5202725.574496647
205,15940978.579435317,674.3714432336703,188855620.4629854,5202726.58620369
206,15940963.52468911,618.3418787757874,188855690.61964563,5202727.513853945
207,15940949.720766008,566.9674699651799,188855754.94739938,5202728.364431164
208,15940937.063740814,519.8614501431457,188855813.9305371,5202729.1443388965
209,15940925.458322985,476.66918627832933,188855868.01310918,5202729.859448645
210,15940914.817139272,437.06550926575846,188855917.60227442,5202730.515144085
211,15940905.060076116,400.7522660201787,188855963.07136345,5202731.116361586
212,15940896.113676159,367.45607493858995,188856004.7626886,5202731.667627387
213,15940887.91058539,336.9262678374738,188856042.990122,5202732.173091721
214,15940880.389045889,308.9330028732665,188856078.04145873,5202732.636559908
215,15940873.492430918,283.26553424155503,188856110.18058112,5202733.061521188
216,15940867.168818748,259.7306256305191,188856139.64944822,5202733.451174885
217,15940861.37060146,238.15109548584115,188856166.66991585,5202733.808454491
218,15940856.054126734,218.3644831366927,188856191.44540724,5202734.136049764
219,15940851.179369038,200.22182574160158,188856214.16244513,5202734.436427058
220,15940846.709628478,183.5865368477944,188856234.99205476,5202734.711847664
221,15940842.611254252,168.33337812179067,188856254.09105006,5202734.96438518
222,15940838.85339156,154.34751651071375,188856271.6032185,5202735.19594076
223,15940835.40774902,141.52365973678855,188856287.66040128,5202735.4082577545
224,15940832.24838597,129.76526361703964,188856302.38348323,5202735.602934488
225,15940829.351516977,118.98380524086188,188856315.8833084,5202735.781436681
226,15940826.695332844,109.09811653403854,188856328.26150984,5202735.945108119
227,15940824.259836348,100.03377319212547,188856339.61127767,5202736.095181076
228,15940822.026691804,91.72253438308526,188856350.0180562,5202736.232785246
229,15940819.979086833,84.10182900116679,188856359.56019458,5202736.358956655
230,15940818.101605967,77.11428460445718,188856368.30953178,5202736.474645228
231,15940816.380114546,70.70729548984453,188856376.33193544,5202736.58072194
232,15940814.80165229,64.8326266537985,188856383.68780357,5202736.677985294
233,15940813.354335662,59.44605065743023,188856390.43251452,5202736.767167611
234,15940812.027268501,54.50701466213413,188856396.61684507,5202736.848940347
235,15940810.81045992,49.978335129067965,188856402.28735423,5202736.923918878
236,15940809.694749212,45.82591788414716,188856407.4867319,5202736.992667968
237,15940808.671736564,42.01850144107748,188856412.25412467,5202737.055704966
238,15940807.733720405,38.52742165007802,188856416.62541988,5202737.113504664
239,15940806.873638738,35.326395900494425,188856420.63353205,5202737.166502172
240,15940806.085016424,32.391325252693846,188856424.30863136,5202737.215096532
241,15940805.361916324,29.700113009614785,188856427.67838603,5202737.259653057
242,15940804.698894503,27.232498362112047,188856430.76816872,5202737.300507857
243,15940804.09095951,24.96990385571111,188856433.60123432,5202737.337968256
244,15940803.533534413,22.895295530434794,188856436.19892266,5202737.372316281
245,15940803.022422625,20.993054680779068,188856438.5807779,5202737.403810657
246,15940802.553776175,19.24886027039492,188856440.76474693,5202737.432688141
247,15940802.124067042,17.64958111623708,188856442.76725197,5202737.459166412
248,15940801.730060041,16.18317703050061,188856444.60338485,5202737.483445164
249,15940801.368788758,14.838608176093405,188856446.28696364,5202737.505705996
250,15940801.03753349,13.605751953231684,188856447.83066243,5202737.52611765
251,15940800.733800495,12.47532679144615,188856449.24610847,5202737.544833676
252,15940800.455302825,11.438822273267357,188856450.54394534,5202737.561994507
253,15940800.199943954,10.488435063527211,188856451.7339578,5202737.577729256
254,15940799.965801474,9.617010161927132,188856452.82510582,5202737.592156961
