,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,0.31 milhões/ 0.06 milhões,0.44 milhões/ 0.15 milhões,0.48 milhões/ 0.18 milhões,0.56 milhões/ 0.22 milhões,0.63 milhões/ 0.26 milhões,0.64 milhões/ 0.25 milhões,0.63 milhões/ 0.24 milhões,0.60 milhões/ 0.20 milhões
0.5,0.67 milhões/ 0.06 milhões,0.87 milhões/ 0.14 milhões,0.94 milhões/ 0.17 milhões,1.05 milhões/ 0.22 milhões,1.19 milhões/ 0.25 milhões,1.22 milhões/ 0.25 milhões,1.22 milhões/ 0.23 milhões,1.21 milhões/ 0.19 milhões
0.7,0.92 milhões/ 0.06 milhões,1.16 milhões/ 0.14 milhões,1.25 milhões/ 0.17 milhões,1.39 milhões/ 0.22 milhões,1.56 milhões/ 0.25 milhões,1.60 milhões/ 0.24 milhões,1.61 milhões/ 0.23 milhões,1.61 milhões/ 0.19 milhões
0.832,1.08 milhões/ 0.06 milhões,1.35 milhões/ 0.14 milhões,1.45 milhões/ 0.17 milhões,1.61 milhões/ 0.21 milhões,1.81 milhões/ 0.25 milhões,1.86 milhões/ 0.24 milhões,1.87 milhões/ 0.23 milhões,1.88 milhões/ 0.19 milhões
1.0,1.28 milhões/ 0.06 milhões,1.59 milhões/ 0.14 milhões,1.71 milhões/ 0.17 milhões,1.89 milhões/ 0.21 milhões,2.12 milhões/ 0.25 milhões,2.18 milhões/ 0.24 milhões,2.20 milhões/ 0.23 milhões,2.22 milhões/ 0.19 milhões
1.2,1.53 milhões/ 0.06 milhões,1.88 milhões/ 0.14 milhões,2.01 milhões/ 0.17 milhões,2.22 milhões/ 0.21 milhões,2.49 milhões/ 0.25 milhões,2.57 milhões/ 0.24 milhões,2.60 milhões/ 0.23 milhões,2.62 milhões/ 0.19 milhões
1.5,1.89 milhões/ 0.06 milhões,2.31 milhões/ 0.14 milhões,2.47 milhões/ 0.17 milhões,2.72 milhões/ 0.21 milhões,3.05 milhões/ 0.24 milhões,3.15 milhões/ 0.24 milhões,3.19 milhões/ 0.22 milhões,3.23 milhões/ 0.18 milhões
