,S,I,R,M
107,16680133.331717584,2673490.899616868,186397321.08828363,4249054.680382242
108,16617767.16351616,2453903.363023942,186676954.31408748,4251375.1593727
109,16560731.19635388,2252155.2243640632,186933608.6267188,4253504.952563616
110,16508558.827825947,2066828.9513988344,187169152.65439245,4255459.566383106
111,16460826.024214737,1896614.4565658227,187385306.24657044,4257253.272649301
112,16417147.174041841,1740301.822853406,187583651.80054337,4258899.202561677
113,16377171.384129915,1596774.3691482523,187765644.81246552,4260409.434256647
114,16340579.165610693,1465002.0693899416,187932623.69075763,4261795.074242072
115,16307079.464236515,1344035.3318288943,188085818.87090048,4263066.33303451
116,16276406.995285135,1232999.1384180288,188226361.27097145,4264232.595325752
117,16248319.84844021,1131087.539549617,188355290.12700754,4265302.485002971
118,16222597.332408933,1037558.4957067963,188473560.24654385,4266283.925340734
119,16199038.032810185,951729.0549108569,188582048.7176051,4267184.194674184
120,16177458.060121076,872970.8529262877,188681561.10910118,4268009.977851746
121,16157689.46728335,800705.9218835854,188772837.19708008,4268767.413753282
122,16139578.819007618,734402.7921698211,188856556.24967673,4269462.139146136
123,16122985.89692786,673572.8720161057,188933341.90191862,4270099.329137717
124,16107782.526596831,617767.0890951572,189003766.64983937,4270683.734468981
125,16093851.513914494,566572.7785623078,189068355.99164453,4271219.715879041
126,16081085.679979358,519610.8022734047,189127592.24199045,4271711.275757184
127,16069386.984575288,476532.88434760936,189181918.04379267,4272162.08728489
128,16058665.729577795,437019.14877529844,189231739.60039008,4272575.5212572785
129,16048839.834504668,400775.84537147364,189277429.64936352,4272954.670760743
130,16039834.17726381,367533.2510196296,189319330.1978456,4273302.373871352
131,16031579.993880916,337043.7338210898,189357755.03777125,4273621.234527137
132,16024014.331634423,309079.96844558767,189392992.05820394,4273913.641716465
133,16017079.550595736,283433.2916588103,189425305.37063146,4274181.787114369
134,16010722.869078705,259912.18767286267,189454937.26195973,4274427.681289058
135,16004895.948951682,238340.8936194579,189482109.98883745,4274653.168591763
136,15999554.517165424,218558.1160781679,189507027.42592224,4274859.940834529
137,15994658.020206703,200415.85019975662,189529876.57974127,4275049.549852679
138,15990169.308505625,183778.29354509606,189550828.97890845,4275223.419041246
139,15986054.348109445,168520.84731197366,189570041.9506312,4275382.853947806
140,15982281.95719062,154529.19814448446,189587659.79266757,4275529.051997717
141,15978823.565185566,141698.4742124877,189603814.8491805,4275663.1114218775
142,15975652.992566016,129932.46971204563,189618628.4982708,4275786.039451574
143,15972746.249429755,119142.93237243594,189632212.05835834,4275898.75983989
144,15970081.351263888,109248.90896207615,189644667.6200099,4276002.11976446
145,15967638.150383966,100176.14416552756,189656088.80928883,4276096.896161976
146,15965398.181687761,91856.52855779788,189666561.48821396,4276183.801540797
147,15963344.521484956,84227.5917316553,189676164.39746934,4276263.489314345
148,15961461.658274848,77232.03693986387,189684969.74609104,4276336.558694501
149,15959735.374444444,70817.31389844032,189693043.75247633,4276403.559181058
150,15958152.637950322,64935.22666049127,189700447.14070913,4276464.994680373
151,15956701.503130093,59541.57371418458,189707235.59587234,4276521.327283692
152,15955371.019864209,54595.81768416584,189713460.18171886,4276572.980733097
153,15954151.150376908,50060.78222444431,189719167.72379816,4276620.3436008105
154,15953032.693026988,45902.37388358331,189724401.1608843,4276663.772205445
155,15952007.212495295,42089.32690103042,189729199.86731708,4276703.593286888
156,15951066.975827174,38592.96905765106,189733599.94865572,4276740.106459717
157,15950204.893834678,35387.006854966065,189737634.51284716,4276773.586463443
158,15949414.467405928,32447.32843716806,189741333.9189308,4276804.28522633
159,15948689.738307785,29751.822798571968,189744726.0051357,4276832.433758213
160,15948025.244103301,27280.213937560577,189747836.2980729,4276858.243886443
161,15947415.976837786,25013.908727080376,189750688.20458746,4276881.909847919
162,15946857.345176652,22935.857372040067,189753303.18770242,4276903.609749141
163,15946345.139705263,21030.42541622972,189755700.92797354,4276923.506905167
164,15945875.50112541,19283.276346231625,189757899.471461,4276941.751067526
165,15945444.891105648,17681.263917810254,189759915.3654264,4276958.479550274
166,15945050.06556312,16212.333401981834,189761763.78277242,4276973.818262634
167,15944688.050173353,14865.431013869886,189763458.63615698,4276987.882655945
