,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,0.24 milhões/ 0.00 milhões,0.29 milhões/ 0.00 milhões,0.31 milhões/ 0.00 milhões,0.33 milhões/ 0.00 milhões,0.37 milhões/ 0.00 milhões,0.39 milhões/ 0.00 milhões,0.40 milhões/ 0.00 milhões,0.41 milhões/ 0.00 milhões
0.5,0.61 milhões/ 0.00 milhões,0.73 milhões/ 0.00 milhões,0.77 milhões/ 0.00 milhões,0.84 milhões/ 0.00 milhões,0.94 milhões/ 0.00 milhões,0.97 milhões/ 0.00 milhões,0.99 milhões/ 0.00 milhões,1.01 milhões/ 0.00 milhões
0.7,0.86 milhões/ 0.00 milhões,1.02 milhões/ 0.00 milhões,1.08 milhões/ 0.00 milhões,1.17 milhões/ 0.00 milhões,1.31 milhões/ 0.00 milhões,1.36 milhões/ 0.00 milhões,1.38 milhões/ 0.00 milhões,1.42 milhões/ 0.00 milhões
0.832,1.02 milhões/ 0.00 milhões,1.21 milhões/ 0.00 milhões,1.28 milhões/ 0.00 milhões,1.39 milhões/ 0.00 milhões,1.56 milhões/ 0.00 milhões,1.61 milhões/ 0.00 milhões,1.64 milhões/ 0.00 milhões,1.69 milhões/ 0.00 milhões
1.0,1.22 milhões/ 0.00 milhões,1.45 milhões/ 0.00 milhões,1.54 milhões/ 0.00 milhões,1.67 milhões/ 0.00 milhões,1.87 milhões/ 0.00 milhões,1.94 milhões/ 0.00 milhões,1.98 milhões/ 0.00 milhões,2.03 milhões/ 0.00 milhões
1.2,1.47 milhões/ 0.00 milhões,1.74 milhões/ 0.00 milhões,1.85 milhões/ 0.00 milhões,2.01 milhões/ 0.00 milhões,2.25 milhões/ 0.00 milhões,2.33 milhões/ 0.00 milhões,2.37 milhões/ 0.00 milhões,2.43 milhões/ 0.00 milhões
1.5,1.84 milhões/ 0.00 milhões,2.18 milhões/ 0.00 milhões,2.31 milhões/ 0.00 milhões,2.51 milhões/ 0.00 milhões,2.81 milhões/ 0.00 milhões,2.91 milhões/ 0.00 milhões,2.96 milhões/ 0.00 milhões,3.04 milhões/ 0.00 milhões
