,1.5,1.7,1.8,2.0,2.5,2.79,3.0,3.5
0.2,0.89 milhões/ 0.54 milhões,0.93 milhões/ 0.56 milhões,0.93 milhões/ 0.56 milhões,0.94 milhões/ 0.55 milhões,0.90 milhões/ 0.49 milhões,0.86 milhões/ 0.44 milhões,0.82 milhões/ 0.41 milhões,0.75 milhões/ 0.33 milhões
0.5,1.60 milhões/ 0.72 milhões,1.64 milhões/ 0.71 milhões,1.65 milhões/ 0.70 milhões,1.65 milhões/ 0.67 milhões,1.60 milhões/ 0.58 milhões,1.56 milhões/ 0.53 milhões,1.52 milhões/ 0.49 milhões,1.43 milhões/ 0.39 milhões
0.7,2.00 milhões/ 0.77 milhões,2.06 milhões/ 0.75 milhões,2.07 milhões/ 0.73 milhões,2.08 milhões/ 0.70 milhões,2.03 milhões/ 0.61 milhões,1.99 milhões/ 0.55 milhões,1.95 milhões/ 0.50 milhões,1.87 milhões/ 0.41 milhões
0.832,2.26 milhões/ 0.78 milhões,2.32 milhões/ 0.76 milhões,2.34 milhões/ 0.75 milhões,2.35 milhões/ 0.72 milhões,2.31 milhões/ 0.61 milhões,2.27 milhões/ 0.55 milhões,2.23 milhões/ 0.51 milhões,2.15 milhões/ 0.41 milhões
1.0,2.57 milhões/ 0.80 milhões,2.65 milhões/ 0.78 milhões,2.67 milhões/ 0.76 milhões,2.69 milhões/ 0.73 milhões,2.66 milhões/ 0.62 milhões,2.62 milhões/ 0.56 milhões,2.59 milhões/ 0.52 milhões,2.50 milhões/ 0.42 milhões
1.2,2.94 milhões/ 0.81 milhões,3.04 milhões/ 0.79 milhões,3.07 milhões/ 0.77 milhões,3.10 milhões/ 0.73 milhões,3.08 milhões/ 0.63 milhões,3.04 milhões/ 0.57 milhões,3.01 milhões/ 0.52 milhões,2.93 milhões/ 0.42 milhões
1.5,3.49 milhões/ 0.83 milhões,3.61 milhões/ 0.80 milhões,3.65 milhões/ 0.78 milhões,3.69 milhões/ 0.74 milhões,3.70 milhões/ 0.63 milhões,3.67 milhões/ 0.57 milhões,3.64 milhões/ 0.52 milhões,3.55 milhões/ 0.42 milhões
