,S,I,R,M
92,3531640.1295718933,1460913.3317045392,198863870.77423427,6143575.764513271
93,3520901.1506139184,1318835.3662550459,199014693.45751628,6145570.02563784
94,3511234.7242780384,1190548.2721429889,199150846.6845203,6147370.31907976
95,3502531.4618550767,1074718.4227580407,199273754.6392191,6148995.4761888925
96,3494693.5491289855,970140.2163426399,199384703.72800484,6150462.506543744
97,3487633.4455956076,875723.9651836469,199484855.8162644,6151786.772972568
98,3481272.7433747314,790484.8958210865,199575260.2108285,6152982.149991876
99,3475541.1639099084,713533.1652093023,199656864.50370568,6154061.167188362
100,3470375.6739246454,644064.8044821852,199730524.38266677,6155035.138940285
101,3465719.704903757,581353.5085349847,199797012.50483286,6155914.281748088
102,3461522.462696349,524743.1959561985,199857026.5210318,6156707.820338222
103,3457738.3157827333,473641.269867677,199911196.33078116,6157424.083591022
104,3454326.2523793946,427512.5159258462,199960090.64045864,6158070.591257317
105,3451249.3979265275,385873.57908287604,200004222.89067587,6158654.132333803
106,3448474.5856606727,348287.965697995,200044056.61276805,6159180.83588859
107,3445971.9739550175,314361.5222280587,200080010.26877543,6159656.235058691
108,3443714.7049443685,283738.34602082893,200112461.62418568,6160085.324868764
109,3441678.599659545,256097.08769810657,200141751.69820124,6160472.614463818
110,3439841.8855041694,231147.60826304578,200168188.33196896,6160822.174290251
111,3438184.9524298846,208627.95741511593,200192049.4114701,6161137.678710457
112,3436690.1346107284,188301.64262477553,200213585.77829677,6161422.444491315
113,3435341.5148071167,169955.16132680746,200233023.85832745,6161679.4655606635
114,3434124.748943892,153395.771154772,200250568.03552482,6161911.444396915
115,3433026.908718127,138449.47547746895,200266402.79545504,6162120.820370451
116,3432036.340305117,124959.20362816865,200280694.66075912,6162309.795335745
117,3431142.5374516007,112783.16715638716,200293593.9386816,6162480.356738932
118,3430336.0274398485,101793.37519464215,200305236.29891777,6162634.298479646
119,3429608.268573991,91874.29363432265,200315744.19807595,6162773.239747151
120,3428951.5579889975,82921.63425905717,200325228.16575998,6162898.642025144
121,3428358.9487158624,74841.26130332347,200333787.96556678,6163011.824443176
122,3427824.1750490125,67548.20410069544,200341513.64324352,6163113.977636018
123,3427341.585366573,60965.76557067093,200348486.47283462,6163206.176254389
124,3426906.081644218,55024.71727563887,200354779.81084767,6163289.39025821
125,3426513.0649820575,49662.572669517845,200360459.8672641,6163364.495112746
126,3426158.3865371845,44822.93096524111,200365586.40153503,6163432.280990695
127,3425838.3033171464,40454.88477747411,200370213.35085627,6163493.46107939
128,3425549.4383456316,36512.4853567045,200374389.39725074,6163548.679079664
129,3425288.744762557,32954.25982767937,200378158.47946805,6163598.51597409
130,3425053.4734653095,29742.77538484817,200381560.2550444,6163643.496136523
131,3424841.143938031,26844.245885531298,200384630.51736003,6163684.0928467605
132,3424649.5179525353,24228.176722697594,200387401.57207817,6163720.733268445
133,3424476.5758545976,21867.044257989197,200389902.5769691,6163753.802941464
134,3424320.495180288,19736.00645604008,200392159.84854916,6163783.649837517
135,3424179.6313716383,17812.64168676928,200394197.138945,6163810.588020466
136,3424052.5003840085,16076.712956566527,200396035.8857335,6163834.900949831
137,3423937.7629983258,14509.955095094658,200397695.4374681,6163856.8444629125
138,3423834.2106707357,13095.882664560422,200399193.2572201,6163876.649466016
139,3423740.7527682204,11819.61657518724,200400545.10631368,6163894.5243640905
140,3423656.405052842,10667.727586512874,200401765.21012786,6163910.657253061
141,3423580.2792937807,9628.095051045977,200402866.40777597,6163925.21789886
142,3423511.573894572,8689.779416582855,200403860.2871855,6163938.359523399
143,3423449.5654369853,7842.907147748969,200404757.30701807,6163950.220416964
144,3423393.6010515457,7078.566857596621,200405566.90671676,6163960.925392977
145,3423343.0915334607,6388.715557724152,200406297.60582474,6163970.587101696
146,3423297.505131078,5766.094041569953,200406957.09362906,6163979.307215089
147,3423256.3619404924,5204.150511424361,200407552.31006625,6163987.177496821
148,3423219.2288487223,4696.9716462706,200408089.5187526,6163994.280767831
149,3423185.7149693375,4239.2203857103705,200408574.3728841,6164000.691777905
150,3423155.467524053,3826.0797757910805,200409011.97472525,6164006.477992056
151,3423128.1681265896,3453.2022862341423,200409406.92930388,6164011.700300447
152,3423103.529428713,3116.664066068996,200409763.39286223,6164016.413659213
153,3423081.2920935866,2812.923656571482,200410085.1165994,6164020.667668804
154,3423061.2220645673,2538.784727263812,200410375.4861309,6164024.507095703
155,3423043.108100582,2291.362443021647,200410637.5571322,6164027.972343725
156,3423026.7595513696,2068.0531085109037,200410874.0874799,6164031.099879098
157,3423012.004350226,1866.506770636617,200411087.56628314,6164033.922614183
158,3422998.687202108,1684.6024907911797,200411280.24007165,6164036.4702538
159,3422986.667948876,1520.426026763595,200411454.13643587,6164038.769607916
160,3422975.8200934916,1372.2496895161746,200411611.0853624,6164040.844873649
161,3422966.029468443,1238.5141629071477,200411752.73849759,6164042.717889947
162,3422957.1930338414,1117.8120950855607,200411880.58652288,6164044.408367379
163,3422949.217792656,1008.8732889196812,200411995.97484195,6164045.934095696
164,3422942.0198119837,910.5513356411175,200412100.11774096,6164047.311130853
165,3422935.5233392976,821.8115510684272,200412194.1111652,6164048.553964017
166,3422929.6600052733,741.7200874772446,200412278.94425204,6164049.675674139
167,3422924.3681041114,669.4341065521031,200412355.5097428,6164050.688065496
168,3422919.591943969,604.192910018544,200412424.61337253,6164051.601792
169,3422915.2812609547,545.3099346292596,200412486.9823542,6164052.426469243
170,3422911.390689893,492.16552727243817,200412543.2730262,6164053.170775699
171,3422907.879287,444.2004241784578,200412594.07776374,6164053.842544111
172,3422904.7100989036,400.9098656089937,200412639.93121108,6164054.448843795
173,3422901.8497737544,361.83828409924297,200412681.3159066,6164054.996055189
174,3422899.26821016,326.57451035887516,200412718.66736215,6164055.489936828
175,3422896.938240384,294.74744638410533,200412752.37864602,6164055.935686116
176,3422894.835344505,266.0221602493318,200412782.80451998,6164056.337993888
177,3422892.9373922567,240.09636148402788,200412810.26517075,6164056.701093853
178,3422891.2244101805,216.6972199450914,200412835.04958102,6164057.02880709
179,3422889.678371464,195.57849470948008,200412857.41856983,6164057.324582239
180,3422888.2830061084,176.51794277404755,200412877.60753676,6164057.591531953
181,3422887.0236297753,159.31498029392645,200412895.82894236,6164057.832465498
182,3422885.8869892517,143.78857174830011,200412912.27453846,6164058.04991828
183,3422884.8611229816,129.7753248206155,200412927.1173918,6164058.246178698
184,3422883.93523514,117.12777094527988,200412940.51369998,6164058.423312104
185,3422883.0995820533,105.71281342656523,200412952.60444036,6164058.583182562
186,3422882.3453696384,95.41032679872045,200412963.51684865,6164058.727472498
187,3422881.664660888,86.1118926879343,200412973.3657638,6164058.8577003
188,3422881.0502922945,77.71965887320027,200412982.25483045,6164058.97523652
189,3422880.495798513,70.1453095395503,200412990.27759215,6164059.081317897
190,3422879.995344287,63.30913588722753,200412997.51847667,6164059.177060857
191,3422879.5436630477,57.13919731648794,200413004.05368498,6164059.263472969
192,3422879.1360014877,51.57056436079893,200413009.9519894,6164059.341463626
193,3422878.768069584,46.54463540151987,200413015.2754594,6164059.411853526
194,3422878.435995366,42.00851997357255,200413020.0801185,6164059.475383383
195,3422878.13628424,37.91448217233109,200413024.41652954,6164059.532721861
196,3422877.8657821775,34.21943830447525,200413028.33032438,6164059.584472225
197,3422877.621642544,30.884503496346976,200413031.86269453,6164059.631179095
198,3422877.4012961183,27.87458248856545,200413035.05080462,6164059.673334055
199,3422877.2024240773,25.158000310637338,200413037.92821208,6164059.711380693
200,3422877.0229335967,22.706168948980956,200413040.52519897,6164059.74571945
201,3422876.8609357653,20.493286500548347,200413042.86908334,6164059.7767116055
202,3422876.7147258273,18.496065646098124,200413044.9845418,6164059.804683434
203,3422876.582765139,16.69348858570638,200413046.8938368,6164059.829929369
204,3422876.4636649718,15.066585857584354,200413048.617051,6164059.852714596
205,3422876.3561719996,13.598236712605633,200413050.17233345,6164059.873279325
206,3422876.259154984,12.272988943778488,200413051.5760342,6164059.891839794
207,3422876.17159301,11.076896274648522,200413052.84293824,6164059.9085914185
208,3422876.092564588,9.997371595378935,200413053.9863727,6164059.923710487
209,3422876.021238059,9.023054502042486,200413055.01836705,6164059.937356094
210,3422875.956862861,8.143691745174044,200413055.94978982,6164059.949672438
211,3422875.8987614787,7.350029329480772,200413056.79043657,6164059.9607877275
212,3422875.846322476,6.633715129222698,200413057.54915965,6164059.970819844
213,3422875.7989940853,5.9872109944324645,200413058.23393607,6164059.979874453
214,3422875.7562781754,5.403713423026664,200413058.85197464,6164059.988046559
215,3422875.717725235,4.877081963998397,200413059.40978798,6164059.995421841
216,3422875.682929523,4.401774598239839,200413059.91324338,6164060.002078485
217,3422875.651524943,3.972789416977429,200413060.36761335,6164060.008086908
218,3422875.6231810385,3.5856119840679335,200413060.7777185,6164060.013509585
219,3422875.597599355,3.2361678282242115,200413061.14783767,6164060.018402997
220,3422875.5745108677,2.920779565220363,200413061.4819225,6164060.022819962
221,3422875.553672506,2.636128198851658,200413061.7833983,6164060.026807879
222,3422875.5348648597,2.379218193398606,200413062.05553013,6164060.030405726
223,3422875.517890383,2.1473459500349397,200413062.30112576,6164060.033652021
224,3422875.50256998,1.9380713554403055,200413062.52280402,6164060.036582897
225,3422875.488742895,1.7491921032086963,200413062.72284976,6164060.039227889
226,3422875.47626303,1.5787205178234247,200413062.90345162,6164060.041617431
227,3422875.4649997386,1.4248626373054636,200413063.06636247,6164060.043769921
228,3422875.4548340207,1.2859993344107197,200413063.21344823,6164060.04571522
229,3422875.4456591248,1.1606692777047027,200413063.34622008,6164060.047469908
230,3422875.4373782994,1.0475535532054445,200413063.46601048,6164060.049054267
