,S,I,R,M
0,209998487.11818728,2362.6920923940884,-842.9092681,-6.901011552
1,209997747.0976235,2877.0946069117576,-619.1232385356192,-5.068993001305773
2,209996845.96468237,3503.488358660403,-346.61493094978096,-2.838110780072305
3,209995748.6453173,4266.2532377738535,-14.777027744680835,-0.12152835676973923
4,209994412.4309907,5195.075603895149,389.30690962062494,3.186494359089259
5,209992785.3174215,6326.102844585121,881.3650215325943,7.214715382524507
6,209990803.98208302,7703.3489273347495,1480.5490723050436,12.11992013740632
7,209988391.32209602,9380.405408092782,2210.179479565334,18.093020620280676
8,209985453.45702434,11422.5241280492,3098.6523721558556,25.366481006452247
9,209981876.0806625,13909.15211863785,4180.543865883221,34.22335777487848
10,209977520.0207606,16937.016570162315,5497.954365422541,45.00830480098908
11,209972215.83533853,20623.878734879887,7102.144957953418,58.14096965091989
12,209965757.23741195,25113.10108658196,9055.529206439196,74.1322993457453
13,209957893.09548172,30579.202844230585,11434.097295409096,93.60438556830944
14,209948317.70320806,37234.61614883298,14330.366031016569,117.31461476249929
15,209936658.94669652,45337.900005838506,17856.968250132453,146.18505273808336
16,209922463.91933045,55203.723015753814,22151.019465587466,181.3381920991909
17,209905181.4400912,67214.99057016874,27379.428914576827,224.14043100489368
18,209884140.8180275,81837.56945283189,33745.357583869496,276.2549416257904
19,209858526.0709482,99638.15469962909,41496.0684256748,339.70593573339465
20,209827344.64576378,121305.93229414032,50932.46519934463,416.95675418140536
21,209789389.4986478,147678.81894568715,62420.677709436844,511.0047091577656
22,209743193.17072996,179775.20870563708,76406.12436747566,625.4962069834053
23,209686972.2370078,218832.32678710745,93430.56982938468,764.8663900203758
24,209618560.21009746,266352.48368495423,114152.79785927047,934.508374537328
25,209535326.64712775,324158.73538235406,139373.63936631748,1140.9781420870358
26,209434079.84120926,394461.68228432245,170066.2342492398,1392.2422773144049
27,209310950.0899747,479939.3689741205,207412.56403153882,1697.9770414313014
28,209161250.14312083,583832.4584748436,252847.4697039556,2069.928723146838
29,208979309.0758434,710057.0145458357,308111.5628411895,2522.3467941577996
30,208758275.57552078,863337.2800771142,375314.64136705425,3072.5030606720147
31,208489886.55939904,1049360.706969645,457011.42201069824,3741.3116452046834
32,208164197.30393252,1274957.0514023972,556291.5786050832,4554.066082784323
33,207769270.07142115,1548302.422423646,676886.1953809273,5541.310798092674
34,207290819.86513954,1879147.5147650114,823292.7557916786,6739.864323252379
35,206711818.8422908,2279066.533677948,1000920.6138561799,8194.01019521654
36,206012065.6115676,2761719.093608233,1216258.427207212,9956.867642095687
37,205167732.8306341,3343111.104910231,1477064.117787368,12091.94669148774
38,204150917.01077586,4041831.7430560975,1792576.3666245213,14674.879566994348
39,202929229.08113503,4879231.4287872305,2173744.1899931086,17795.300107536426
40,201465483.7535974,5879489.945222619,2633467.4881885713,21558.813013681985
41,199717570.219504,7069504.53350265,3186836.294561386,26088.952453681864
42,197638615.21085218,8478506.290157417,3851349.5261567435,31528.972859935027
43,195177578.923296,10137292.55972089,4647085.274002375,38043.2430060286
44,192280448.47929248,12076949.21268388,5596784.377858622,45817.93018926886
45,188892201.96078756,14326939.292382846,6725798.174376478,55060.57247233128
46,184959693.3153642,16912466.78553913,8061841.839681175,65998.05942868919
47,180435536.1236638,19851101.510919828,9634489.86357206,78872.50185518643
48,175282925.28210232,23148785.883697547,11474354.329430083,93934.50478171463
49,169481123.73830387,26795537.821036827,13611904.933085922,111433.50758617044
50,163031073.65993366,30761394.812760126,16075926.371871673,131605.15544976262
51,155960320.42982963,34993358.4348103,18891665.008310527,154656.12706718102
52,148326253.63311478,39414211.260426015,22078787.681961972,180747.42451248897
53,140216680.15146092,43923993.76297158,25649348.35832032,209977.72726285705
54,131747033.41799812,48404584.75001414,29606012.972074464,242368.85992374664
